year,sector,age,age_group,gender,days_homeless,episodes,chronic_homeless,is_chronic
2018,All,42,adult,male,7,0,0,False
2018,All,18,youth,male,144,1,0,False
2018,All,35,adult,female,179,0,0,False
2018,All,28,adult,female,90,0,0,False
2018,All,35,adult,male,97,3,0,False
2018,All,28,adult,female,65,1,0,False
2018,All,42,adult,female,83,3,0,False
2018,All,50,adult,male,165,1,0,False
2018,All,22,youth,female,104,1,0,False
2018,All,35,adult,female,168,0,0,False
2018,All,42,adult,male,87,3,0,False
2018,All,22,youth,female,57,3,0,False
2018,All,22,youth,male,64,3,0,False
2018,All,50,adult,male,170,0,0,False
2018,All,35,adult,male,91,2,0,False
2018,All,28,adult,male,32,1,0,False
2018,All,28,adult,male,102,0,0,False
2018,All,42,adult,male,117,1,0,False
2018,All,28,adult,female,14,3,0,False
2018,All,42,adult,female,28,0,0,False
2018,All,22,youth,female,45,2,0,False
2018,All,50,adult,female,118,1,0,False
2018,All,42,adult,male,39,1,0,False
2018,All,35,adult,female,108,1,0,False
2018,All,42,adult,male,93,2,0,False
2018,All,28,adult,male,98,2,0,False
2018,All,58,adult,male,56,3,0,False
2018,All,35,adult,male,18,0,0,False
2018,All,35,adult,female,49,2,0,False
2018,All,42,adult,male,70,0,0,False
2018,All,35,adult,female,73,0,0,False
2018,All,22,youth,female,27,0,0,False
2018,All,58,adult,female,122,0,0,False
2018,All,22,youth,male,156,1,0,False
2018,All,28,adult,male,1,2,0,False
2018,All,22,youth,female,140,1,0,False
2018,All,35,adult,male,62,0,0,False
2018,All,65,adult,male,165,0,0,False
2018,All,28,adult,male,94,0,0,False
2018,All,28,adult,male,136,1,0,False
2018,All,42,adult,female,45,1,0,False
2018,All,42,adult,male,45,1,0,False
2018,All,28,adult,female,138,1,0,False
2018,All,42,adult,female,87,0,0,False
2018,All,28,adult,male,92,0,0,False
2018,All,42,adult,male,102,0,0,False
2018,All,42,adult,male,137,0,0,False
2018,All,58,adult,male,154,3,0,False
2018,All,35,adult,male,49,0,0,False
2018,All,42,adult,male,84,0,0,False
2018,All,35,adult,male,78,1,0,False
2018,All,22,youth,male,103,0,0,False
2018,All,22,youth,female,150,2,0,False
2018,All,28,adult,male,54,3,0,False
2018,All,42,adult,male,92,0,0,False
2018,All,35,adult,female,145,0,0,False
2018,All,18,youth,male,49,3,0,False
2018,All,42,adult,male,155,0,0,False
2018,All,65,adult,female,3,0,0,False
2018,All,58,adult,male,116,0,0,False
2018,All,28,adult,male,44,1,0,False
2018,All,35,adult,male,118,0,0,False
2018,All,28,adult,male,45,3,0,False
2018,All,50,adult,female,140,2,0,False
2018,All,42,adult,male,168,3,0,False
2018,All,42,adult,male,152,3,0,False
2018,All,28,adult,male,161,2,0,False
2018,All,28,adult,male,92,3,0,False
2018,All,50,adult,male,131,0,0,False
2018,All,50,adult,male,175,3,0,False
2018,All,35,adult,male,119,2,0,False
2018,All,42,adult,male,99,3,0,False
2018,All,35,adult,female,35,3,0,False
2018,All,50,adult,male,169,3,0,False
2018,All,65,adult,male,164,0,0,False
2018,All,28,adult,female,21,3,0,False
2018,All,42,adult,male,30,3,0,False
2018,All,50,adult,female,27,3,0,False
2018,All,18,youth,female,35,2,0,False
2018,All,35,adult,male,97,1,0,False
2018,All,22,youth,female,103,2,0,False
2018,All,58,adult,male,36,3,0,False
2018,All,22,youth,male,48,1,0,False
2018,All,35,adult,male,90,1,0,False
2018,All,18,youth,female,114,0,0,False
2018,All,42,adult,female,112,0,0,False
2018,All,42,adult,female,4,3,0,False
2018,All,18,youth,male,14,2,0,False
2018,All,42,adult,female,3,1,0,False
2018,All,35,adult,male,55,0,0,False
2018,All,42,adult,female,13,3,0,False
2018,All,35,adult,male,123,3,0,False
2018,All,42,adult,female,10,1,0,False
2018,All,50,adult,male,107,1,0,False
2018,All,35,adult,female,34,3,0,False
2018,All,18,youth,male,65,1,0,False
2018,All,18,youth,male,136,0,0,False
2018,All,50,adult,male,169,3,0,False
2018,All,35,adult,female,27,1,0,False
2018,All,18,youth,male,2,2,0,False
2018,All,42,adult,male,56,1,0,False
2018,All,42,adult,male,8,2,0,False
2018,All,18,youth,female,173,2,0,False
2018,All,65,adult,female,131,2,0,False
2018,All,42,adult,female,120,0,0,False
2018,All,58,adult,female,34,0,0,False
2018,All,42,adult,male,128,2,0,False
2018,All,42,adult,male,105,2,0,False
2018,All,28,adult,male,168,0,0,False
2018,All,42,adult,male,60,3,0,False
2018,All,28,adult,male,19,0,0,False
2018,All,18,youth,female,81,0,0,False
2018,All,22,youth,female,42,3,0,False
2018,All,35,adult,male,90,3,0,False
2018,All,22,youth,male,109,2,0,False
2018,All,28,adult,female,130,0,0,False
2018,All,22,youth,female,62,0,0,False
2018,All,35,adult,male,43,3,0,False
2018,All,58,adult,male,62,1,0,False
2018,All,22,youth,male,171,2,0,False
2018,All,28,adult,male,143,3,0,False
2018,All,35,adult,male,147,0,0,False
2018,All,35,adult,female,64,0,0,False
2018,All,42,adult,female,78,1,0,False
2018,All,65,adult,male,63,3,0,False
2018,All,28,adult,female,78,1,0,False
2018,All,22,youth,male,24,3,0,False
2018,All,35,adult,male,30,2,0,False
2018,All,42,adult,male,163,0,0,False
2018,All,42,adult,female,70,3,0,False
2018,All,35,adult,male,177,3,0,False
2018,All,58,adult,male,123,3,0,False
2018,All,35,adult,male,69,1,0,False
2018,All,35,adult,male,133,0,0,False
2018,All,28,adult,female,150,3,0,False
2018,All,58,adult,female,146,1,0,False
2018,All,50,adult,female,91,0,0,False
2018,All,35,adult,male,32,2,0,False
2018,All,42,adult,female,82,2,0,False
2018,All,22,youth,male,164,2,0,False
2018,All,35,adult,male,29,3,0,False
2018,All,22,youth,female,136,0,0,False
2018,All,28,adult,male,145,1,0,False
2018,All,22,youth,female,159,1,0,False
2018,All,35,adult,male,99,0,0,False
2018,All,58,adult,male,17,2,0,False
2018,All,22,youth,male,142,2,0,False
2018,All,22,youth,female,153,3,0,False
2018,All,28,adult,female,34,3,0,False
2018,All,35,adult,male,68,3,0,False
2018,All,50,adult,male,49,0,0,False
2018,All,22,youth,male,171,0,0,False
2018,All,42,adult,female,93,3,0,False
2018,All,35,adult,female,136,1,0,False
2018,All,42,adult,male,174,1,0,False
2018,All,18,youth,male,26,0,0,False
2018,All,35,adult,female,150,0,0,False
2018,All,35,adult,female,116,1,0,False
2018,All,42,adult,male,61,0,0,False
2018,All,35,adult,male,172,2,0,False
2018,All,22,youth,male,95,1,0,False
2018,All,28,adult,female,71,1,0,False
2018,All,18,youth,female,137,1,0,False
2018,All,35,adult,female,145,3,0,False
2018,All,42,adult,male,5,1,0,False
2018,All,65,adult,female,145,3,0,False
2018,All,42,adult,male,142,0,0,False
2018,All,42,adult,male,153,1,0,False
2018,All,28,adult,male,117,1,0,False
2018,All,28,adult,female,55,0,0,False
2018,All,22,youth,male,162,0,0,False
2018,All,18,youth,male,3,1,0,False
2018,All,50,adult,female,75,2,0,False
2018,All,65,adult,male,84,0,0,False
2018,All,35,adult,male,48,2,0,False
2018,All,18,youth,female,62,2,0,False
2018,All,28,adult,female,8,2,0,False
2018,All,35,adult,male,81,2,0,False
2018,All,35,adult,male,127,2,0,False
2018,All,35,adult,female,67,2,0,False
2018,All,28,adult,male,118,1,0,False
2018,All,28,adult,male,63,1,0,False
2018,All,22,youth,male,58,1,0,False
2018,All,35,adult,male,46,1,0,False
2018,All,65,adult,female,27,1,0,False
2018,All,22,youth,female,136,1,0,False
2018,All,22,youth,female,133,1,0,False
2018,All,28,adult,male,23,3,0,False
2018,All,58,adult,male,60,0,0,False
2018,All,28,adult,male,157,3,0,False
2018,All,35,adult,male,25,3,0,False
2018,All,35,adult,female,65,3,0,False
2018,All,28,adult,male,60,2,0,False
2018,All,42,adult,male,63,0,0,False
2018,All,42,adult,female,106,0,0,False
2018,All,18,youth,female,2,3,0,False
2018,All,42,adult,male,72,2,0,False
2018,All,35,adult,male,149,3,0,False
2018,All,18,youth,male,154,2,0,False
2018,All,35,adult,male,140,1,0,False
2018,All,50,adult,female,19,2,0,False
2018,All,42,adult,female,116,2,0,False
2018,All,28,adult,male,173,1,0,False
2018,All,42,adult,male,6,3,0,False
2018,All,35,adult,male,116,1,0,False
2018,All,50,adult,female,91,1,0,False
2018,All,42,adult,male,71,3,0,False
2018,All,50,adult,male,75,1,0,False
2018,All,22,youth,male,167,2,0,False
2018,All,42,adult,male,157,2,0,False
2018,All,42,adult,male,106,3,0,False
2018,All,35,adult,female,175,2,0,False
2018,All,35,adult,female,55,3,0,False
2018,All,58,adult,male,46,0,0,False
2018,All,22,youth,female,69,2,0,False
2018,All,22,youth,male,70,2,0,False
2018,All,42,adult,female,34,2,0,False
2018,All,42,adult,male,63,0,0,False
2018,All,35,adult,female,13,0,0,False
2018,All,22,youth,female,132,3,0,False
2018,All,35,adult,male,157,1,0,False
2018,All,35,adult,male,61,3,0,False
2018,All,50,adult,male,97,2,0,False
2018,All,35,adult,male,47,0,0,False
2018,All,35,adult,male,116,3,0,False
2018,All,28,adult,male,146,1,0,False
2018,All,22,youth,male,59,2,0,False
2018,All,42,adult,male,58,0,0,False
2018,All,65,adult,male,94,0,0,False
2018,All,22,youth,female,141,1,0,False
2018,All,42,adult,male,60,0,0,False
2018,All,35,adult,female,130,2,0,False
2018,All,50,adult,male,103,2,0,False
2018,All,35,adult,male,177,2,0,False
2018,All,42,adult,female,75,3,0,False
2018,All,22,youth,female,33,2,0,False
2018,All,28,adult,male,28,0,0,False
2018,All,28,adult,female,98,3,0,False
2018,All,18,youth,male,90,2,0,False
2018,All,58,adult,male,116,1,0,False
2018,All,42,adult,female,126,3,0,False
2018,All,50,adult,female,86,0,0,False
2018,All,42,adult,female,23,0,0,False
2018,All,28,adult,male,38,1,0,False
2018,All,22,youth,female,82,1,0,False
2018,All,42,adult,female,25,1,0,False
2018,All,42,adult,male,97,2,0,False
2018,All,35,adult,male,104,1,0,False
2018,All,35,adult,female,14,2,0,False
2018,All,28,adult,female,70,2,0,False
2018,All,42,adult,female,21,2,0,False
2018,All,50,adult,male,150,1,0,False
2018,All,18,youth,female,84,1,0,False
2018,All,22,youth,male,43,0,0,False
2018,All,42,adult,female,167,2,0,False
2018,All,50,adult,female,162,0,0,False
2018,All,42,adult,male,54,0,0,False
2018,All,35,adult,female,133,1,0,False
2018,All,18,youth,male,34,3,0,False
2018,All,28,adult,male,4,0,0,False
2018,All,50,adult,male,146,1,0,False
2018,All,35,adult,female,69,2,0,False
2018,All,22,youth,male,149,1,0,False
2018,All,28,adult,female,71,2,0,False
2018,All,35,adult,male,45,0,0,False
2018,All,22,youth,male,171,3,0,False
2018,All,18,youth,female,44,1,0,False
2018,All,35,adult,female,116,1,0,False
2018,All,28,adult,female,178,0,0,False
2018,All,42,adult,male,50,3,0,False
2018,All,50,adult,male,48,0,0,False
2018,All,50,adult,female,24,0,0,False
2018,All,58,adult,male,176,1,0,False
2018,All,42,adult,female,86,1,0,False
2018,All,50,adult,female,153,2,0,False
2018,All,42,adult,female,106,0,0,False
2018,All,65,adult,male,90,1,0,False
2018,All,50,adult,female,89,1,0,False
2018,All,42,adult,male,103,3,0,False
2018,All,18,youth,female,111,3,0,False
2018,All,42,adult,male,72,3,0,False
2018,All,22,youth,male,70,1,0,False
2018,All,50,adult,male,129,1,0,False
2018,All,28,adult,male,150,3,0,False
2018,All,28,adult,male,161,3,0,False
2018,All,42,adult,male,64,0,0,False
2018,All,42,adult,male,64,2,0,False
2018,All,42,adult,female,8,1,0,False
2018,All,22,youth,female,112,0,0,False
2018,All,58,adult,male,115,1,0,False
2018,All,50,adult,male,156,2,0,False
2018,All,50,adult,male,72,0,0,False
2018,All,42,adult,female,60,2,0,False
2018,All,35,adult,male,71,1,0,False
2018,All,18,youth,female,56,1,0,False
2018,All,58,adult,female,58,0,0,False
2018,All,18,youth,male,9,3,0,False
2018,All,35,adult,female,177,2,0,False
2018,All,35,adult,female,15,3,0,False
2018,All,28,adult,male,21,0,0,False
2018,All,50,adult,male,31,2,0,False
2018,All,35,adult,female,179,3,0,False
2018,All,35,adult,female,47,3,0,False
2018,All,18,youth,male,169,3,0,False
2018,All,42,adult,male,155,1,0,False
2018,All,18,youth,male,121,3,0,False
2018,All,22,youth,female,171,0,0,False
2018,All,28,adult,female,44,0,0,False
2018,All,42,adult,female,83,3,0,False
2018,All,18,youth,male,143,0,0,False
2018,All,18,youth,male,31,0,0,False
2018,All,22,youth,male,13,1,0,False
2018,All,42,adult,female,61,3,0,False
2018,All,50,adult,female,149,0,0,False
2018,All,28,adult,male,57,0,0,False
2018,All,50,adult,male,60,1,0,False
2018,All,58,adult,male,123,0,0,False
2018,All,58,adult,male,68,0,0,False
2018,All,18,youth,male,58,1,0,False
2018,All,42,adult,female,14,0,0,False
2018,All,18,youth,male,161,2,0,False
2018,All,22,youth,female,134,3,0,False
2018,All,42,adult,male,91,0,0,False
2018,All,28,adult,female,101,3,0,False
2018,All,22,youth,male,125,3,0,False
2018,All,58,adult,male,61,1,0,False
2018,All,42,adult,male,73,3,0,False
2018,All,35,adult,male,5,1,0,False
2018,All,28,adult,male,158,3,0,False
2018,All,35,adult,female,156,2,0,False
2018,All,35,adult,male,77,1,0,False
2018,All,22,youth,male,154,1,0,False
2018,All,22,youth,female,108,1,0,False
2018,All,35,adult,male,102,2,0,False
2018,All,18,youth,male,101,3,0,False
2018,All,18,youth,male,56,1,0,False
2018,All,18,youth,male,26,0,0,False
2018,All,58,adult,female,43,1,0,False
2018,All,50,adult,female,97,3,0,False
2018,All,58,adult,female,111,3,0,False
2018,All,28,adult,male,155,0,0,False
2018,All,42,adult,male,172,3,0,False
2018,All,50,adult,male,5,2,0,False
2018,All,28,adult,male,154,3,0,False
2018,All,22,youth,female,15,3,0,False
2018,All,18,youth,female,8,1,0,False
2018,All,42,adult,male,80,1,0,False
2018,All,28,adult,male,42,2,0,False
2018,All,35,adult,female,132,0,0,False
2018,All,18,youth,male,75,0,0,False
2018,All,50,adult,female,54,2,0,False
2018,All,35,adult,female,138,2,0,False
2018,All,22,youth,female,93,1,0,False
2018,All,22,youth,female,173,3,0,False
2018,All,22,youth,female,61,2,0,False
2018,All,18,youth,male,64,2,0,False
2018,All,50,adult,male,98,3,0,False
2018,All,18,youth,male,73,1,0,False
2018,All,50,adult,male,175,3,0,False
2018,All,22,youth,male,2,1,0,False
2018,All,22,youth,male,129,1,0,False
2018,All,28,adult,male,85,2,0,False
2018,All,35,adult,male,92,0,0,False
2018,All,65,adult,male,131,1,0,False
2018,All,50,adult,male,178,3,0,False
2018,All,50,adult,male,179,2,0,False
2018,All,50,adult,male,102,0,0,False
2018,All,28,adult,male,45,2,0,False
2018,All,42,adult,male,97,2,0,False
2018,All,22,youth,male,100,0,0,False
2018,All,50,adult,female,15,0,0,False
2018,All,58,adult,male,125,3,0,False
2018,All,65,adult,male,29,3,0,False
2018,All,35,adult,male,32,2,0,False
2018,All,42,adult,male,104,0,0,False
2018,All,58,adult,male,149,2,0,False
2018,All,42,adult,male,150,3,0,False
2018,All,42,adult,female,55,1,0,False
2018,All,50,adult,male,162,0,0,False
2018,All,28,adult,male,51,1,0,False
2018,All,28,adult,female,37,3,0,False
2018,All,28,adult,male,104,0,0,False
2018,All,18,youth,male,110,1,0,False
2018,All,18,youth,male,167,2,0,False
2018,All,35,adult,female,1,1,0,False
2018,All,35,adult,male,91,3,0,False
2018,All,28,adult,female,43,2,0,False
2018,All,65,adult,male,8,3,0,False
2018,All,50,adult,female,31,2,0,False
2018,All,28,adult,female,169,1,0,False
2018,All,28,adult,male,78,1,0,False
2018,All,28,adult,female,154,0,0,False
2018,All,50,adult,male,135,1,0,False
2018,All,22,youth,male,141,3,0,False
2018,All,35,adult,female,41,2,0,False
2018,All,28,adult,female,91,3,0,False
2018,All,18,youth,male,100,0,0,False
2018,All,50,adult,male,170,0,0,False
2018,All,42,adult,female,158,2,0,False
2018,All,18,youth,male,83,0,0,False
2018,All,50,adult,female,171,3,0,False
2018,All,22,youth,male,122,2,0,False
2018,All,42,adult,male,140,0,0,False
2018,All,28,adult,male,111,0,0,False
2018,All,50,adult,female,94,2,0,False
2018,All,50,adult,male,146,0,0,False
2018,All,35,adult,male,61,1,0,False
2018,All,28,adult,male,137,1,0,False
2018,All,42,adult,male,55,2,0,False
2018,All,28,adult,male,27,0,0,False
2018,All,42,adult,male,38,3,0,False
2018,All,35,adult,male,96,1,0,False
2018,All,58,adult,male,3,2,0,False
2018,All,22,youth,male,73,1,0,False
2018,All,22,youth,female,35,2,0,False
2018,All,42,adult,female,132,3,0,False
2018,All,28,adult,female,19,0,0,False
2018,All,22,youth,male,87,1,0,False
2018,All,35,adult,male,32,3,0,False
2018,All,35,adult,male,54,1,0,False
2018,All,35,adult,female,148,0,0,False
2018,All,18,youth,female,5,0,0,False
2018,All,35,adult,female,131,3,0,False
2018,All,18,youth,male,99,0,0,False
2018,All,50,adult,female,43,3,0,False
2018,All,22,youth,male,63,1,0,False
2018,All,28,adult,female,49,3,0,False
2018,All,35,adult,female,90,3,0,False
2018,All,42,adult,male,151,3,0,False
2018,All,28,adult,male,117,0,0,False
2018,All,42,adult,female,22,0,0,False
2018,All,22,youth,male,17,0,0,False
2018,All,35,adult,male,20,3,0,False
2018,All,22,youth,female,8,2,0,False
2018,All,18,youth,male,169,2,0,False
2018,All,50,adult,female,97,2,0,False
2018,All,22,youth,male,28,3,0,False
2018,All,28,adult,male,36,0,0,False
2018,All,58,adult,female,5,1,0,False
2018,All,58,adult,male,176,1,0,False
2018,All,58,adult,female,102,1,0,False
2018,All,28,adult,female,103,2,0,False
2018,All,22,youth,male,140,1,0,False
2018,All,18,youth,male,64,3,0,False
2018,All,28,adult,female,100,3,0,False
2018,All,22,youth,male,10,0,0,False
2018,All,35,adult,female,74,3,0,False
2018,All,35,adult,male,23,1,0,False
2018,All,35,adult,male,68,1,0,False
2018,All,42,adult,female,65,3,0,False
2018,All,18,youth,male,155,1,0,False
2018,All,18,youth,male,146,0,0,False
2018,All,28,adult,male,12,2,0,False
2018,All,28,adult,female,133,1,0,False
2018,All,18,youth,male,118,1,0,False
2018,All,28,adult,male,93,3,0,False
2018,All,42,adult,female,15,3,0,False
2018,All,22,youth,male,172,2,0,False
2018,All,18,youth,male,124,2,0,False
2018,All,50,adult,male,150,1,0,False
2018,All,50,adult,female,173,1,0,False
2018,All,58,adult,female,64,1,0,False
2018,All,18,youth,male,51,3,0,False
2018,All,42,adult,male,60,3,0,False
2018,All,22,youth,male,122,2,0,False
2018,All,18,youth,male,45,1,0,False
2018,All,28,adult,male,127,0,0,False
2018,All,18,youth,male,157,1,0,False
2018,All,35,adult,male,164,0,0,False
2018,All,42,adult,male,46,2,0,False
2018,All,28,adult,male,104,1,0,False
2018,All,35,adult,male,6,2,0,False
2018,All,42,adult,male,39,1,0,False
2018,All,18,youth,male,78,0,0,False
2018,All,35,adult,male,168,0,0,False
2018,All,35,adult,male,35,3,0,False
2018,All,50,adult,female,128,3,0,False
2018,All,42,adult,female,41,0,0,False
2018,All,50,adult,female,138,2,0,False
2018,All,18,youth,female,161,2,0,False
2018,All,22,youth,female,132,1,0,False
2018,All,58,adult,female,52,1,0,False
2018,All,28,adult,male,100,0,0,False
2018,All,50,adult,female,175,2,0,False
2018,All,35,adult,female,152,2,0,False
2018,All,28,adult,male,99,3,0,False
2018,All,28,adult,male,133,0,0,False
2018,All,22,youth,female,138,1,0,False
2018,All,42,adult,male,140,0,0,False
2018,All,35,adult,male,145,1,0,False
2018,All,35,adult,male,60,1,0,False
2018,All,28,adult,male,131,0,0,False
2018,All,50,adult,male,150,0,0,False
2018,All,22,youth,female,92,1,0,False
2018,All,18,youth,female,87,1,0,False
2018,All,42,adult,male,179,0,0,False
2018,All,35,adult,female,97,2,0,False
2018,All,42,adult,male,50,0,0,False
2018,All,22,youth,female,146,0,0,False
2018,All,28,adult,male,77,2,0,False
2018,All,42,adult,female,79,2,0,False
2018,All,22,youth,female,50,2,0,False
2018,All,28,adult,male,146,2,0,False
2018,All,22,youth,male,134,3,0,False
2018,All,18,youth,male,101,1,0,False
2018,All,58,adult,male,5,0,0,False
2018,All,18,youth,male,46,1,0,False
2018,All,35,adult,male,113,1,0,False
2018,All,42,adult,female,115,3,0,False
2018,All,22,youth,female,60,1,0,False
2018,All,28,adult,female,130,0,0,False
2018,All,42,adult,male,53,3,0,False
2018,All,35,adult,male,126,2,0,False
2018,All,35,adult,female,28,1,0,False
2018,All,50,adult,male,126,1,0,False
2018,All,22,youth,male,28,1,0,False
2018,All,28,adult,male,51,1,0,False
2018,All,35,adult,female,127,2,0,False
2018,All,35,adult,male,24,2,0,False
2018,All,22,youth,female,151,2,0,False
